genes	state
476	8.031746032
2597	7.714285714
2023	4.698412698
533	3.26984127
517	2.936507937
1327	2.888888889
2877	2.523809524
481	2.063492063
4725	2.047619048
1340	1.984126984
3418	1.920634921
51523	1.841269841
514	1.825396825
4726	1.761904762
8714	1.73015873
8992	1.73015873
226	1.698412698
2879	1.666666667
1718	1.650793651
2987	1.587301587
4245	1.587301587
1351	1.428571429
10555	1.365079365
51079	1.333333333
290	1.317460317
79586	1.317460317
4144	1.301587302
4705	1.285714286
445	1.26984127
1892	1.26984127
118881	1.222222222
8733	1.19047619
126328	1.19047619
521	1.174603175
645	1.158730159
5832	1.142857143
5476	1.126984127
2876	1.126984127
3615	1.126984127
4716	1.111111111
498	1.079365079
3030	1.015873016
4696	1.015873016
353	1
506	1
2109	0.984126984
4669	0.968253968
1650	0.952380952
2548	0.952380952
516	0.936507937
2678	0.904761905
2628	0.888888889
2752	0.873015873
2821	0.857142857
4832	0.857142857
513	0.841269841
10632	0.841269841
526	0.841269841
124583	0.841269841
2356	0.841269841
4357	0.841269841
9114	0.825396825
2878	0.825396825
3073	0.777777778
4695	0.777777778
4715	0.761904762
4728	0.761904762
1337	0.746031746
55268	0.73015873
10768	0.714285714
9296	0.714285714
3632	0.714285714
84532	0.698412698
1329	0.698412698
3420	0.698412698
1347	0.682539683
1350	0.682539683
1152	0.666666667
9551	0.650793651
8704	0.650793651
9245	0.650793651
84706	0.650793651
2944	0.650793651
587	0.634920635
2937	0.634920635
216	0.619047619
2683	0.619047619
2687	0.619047619
11253	0.619047619
51	0.603174603
535	0.603174603
529	0.603174603
8703	0.587301587
4191	0.571428571
4259	0.571428571
483	0.555555556
2990	0.555555556
51529	0.53968254
4723	0.53968254
10327	0.523809524
1645	0.523809524
518	0.523809524
1537	0.523809524
51447	0.523809524
204	0.507936508
427	0.507936508
955	0.507936508
2224	0.507936508
9957	0.507936508
4123	0.507936508
7841	0.507936508
4833	0.507936508
278	0.492063492
1345	0.492063492
1891	0.492063492
92579	0.492063492
2582	0.492063492
2720	0.492063492
3636	0.492063492
3945	0.492063492
4713	0.492063492
1349	0.476190476
3162	0.476190476
3423	0.476190476
3939	0.476190476
8574	0.46031746
277	0.46031746
2799	0.46031746
4694	0.46031746
4830	0.46031746
224	0.444444444
410	0.444444444
435	0.444444444
1384	0.444444444
8818	0.444444444
2519	0.444444444
4714	0.444444444
4720	0.444444444
522	0.428571429
84444	0.428571429
2222	0.428571429
2517	0.428571429
4697	0.428571429
26229	0.412698413
1431	0.412698413
2806	0.412698413
11282	0.412698413
30833	0.412698413
10423	0.396825397
8694	0.396825397
29926	0.396825397
3613	0.396825397
3712	0.396825397
4707	0.396825397
4729	0.396825397
4731	0.396825397
47	0.380952381
10554	0.380952381
4122	0.380952381
11343	0.380952381
29922	0.380952381
35	0.365079365
191	0.365079365
279	0.365079365
4121	0.365079365
11041	0.349206349
10682	0.349206349
10919	0.349206349
23464	0.349206349
80270	0.349206349
4524	0.349206349
55577	0.349206349
30	0.333333333
56894	0.333333333
509	0.333333333
11285	0.333333333
54480	0.333333333
54344	0.333333333
2805	0.333333333
3145	0.333333333
4702	0.333333333
53	0.317460317
276	0.317460317
280	0.317460317
515	0.317460317
10331	0.317460317
79901	0.317460317
1632	0.317460317
51477	0.317460317
4048	0.317460317
4258	0.317460317
22978	0.317460317
38	0.301587302
55349	0.301587302
10229	0.301587302
1374	0.301587302
1716	0.301587302
2132	0.301587302
