genes	state
2597	12.17021277
5034	9.042553191
2023	7.574468085
2877	4.978723404
7167	4.425531915
476	4.404255319
1890	4.085106383
1718	3.617021277
293	3.595744681
290	3.404255319
533	2.978723404
517	2.808510638
5315	2.659574468
226	2.638297872
79586	2.468085106
6649	2.340425532
9123	2.319148936
50506	2.29787234
8714	2.191489362
84444	2.127659574
4726	2.042553191
5730	2.042553191
10555	2
2987	1.893617021
2879	1.872340426
6389	1.872340426
7384	1.808510638
5211	1.787234043
51079	1.744680851
126328	1.723404255
1351	1.70212766
7264	1.70212766
55343	1.659574468
8566	1.638297872
8992	1.617021277
481	1.595744681
2687	1.531914894
4716	1.531914894
5052	1.531914894
2878	1.489361702
4123	1.489361702
5351	1.468085106
7378	1.446808511
5209	1.404255319
10975	1.361702128
445	1.340425532
514	1.340425532
1340	1.340425532
1892	1.319148936
3030	1.29787234
5834	1.29787234
80271	1.276595745
4705	1.276595745
6303	1.276595745
8733	1.255319149
2876	1.255319149
4245	1.234042553
6647	1.234042553
3636	1.191489362
11253	1.191489362
4832	1.170212766
2582	1.14893617
9551	1.106382979
4725	1.106382979
2224	1.085106383
955	1.063829787
10723	1.063829787
1537	1.042553191
9245	1.042553191
6574	1.042553191
27089	1.042553191
2548	1.021276596
11343	1.021276596
30833	1.021276596
1327	1
3931	1
4696	0.978723404
5214	0.978723404
10327	0.957446809
1329	0.957446809
3615	0.957446809
7001	0.957446809
353	0.936170213
4723	0.936170213
521	0.914893617
26229	0.893617021
51604	0.893617021
7263	0.893617021
513	0.872340426
51523	0.829787234
3073	0.829787234
3632	0.829787234
23396	0.829787234
5476	0.808510638
2348	0.808510638
2806	0.808510638
2821	0.808510638
2990	0.808510638
2997	0.808510638
9807	0.808510638
5832	0.787234043
9114	0.787234043
2356	0.787234043
2762	0.787234043
54407	0.787234043
8704	0.765957447
1609	0.765957447
55268	0.744680851
6888	0.744680851
410	0.723404255
1347	0.723404255
2937	0.723404255
4357	0.723404255
4715	0.723404255
4728	0.723404255
8985	0.723404255
64078	0.723404255
6522	0.723404255
645	0.70212766
1650	0.70212766
8694	0.70212766
9563	0.70212766
4713	0.70212766
2109	0.680851064
92579	0.680851064
3418	0.680851064
6558	0.680851064
6576	0.680851064
498	0.659574468
1345	0.659574468
7841	0.659574468
6185	0.659574468
43	0.638297872
506	0.638297872
516	0.638297872
8525	0.638297872
2629	0.638297872
4144	0.638297872
10654	0.638297872
221	0.617021277
80347	0.617021277
2222	0.617021277
29926	0.617021277
51447	0.617021277
5406	0.617021277
113452	0.617021277
1119	0.595744681
54480	0.595744681
3423	0.595744681
5049	0.595744681
6184	0.595744681
435	0.574468085
8703	0.574468085
4259	0.574468085
54187	0.574468085
6817	0.574468085
7086	0.574468085
1120	0.553191489
9957	0.553191489
4524	0.553191489
55191	0.553191489
51109	0.553191489
4669	0.531914894
5226	0.531914894
6523	0.531914894
6648	0.531914894
10554	0.510638298
204	0.510638298
790	0.510638298
54344	0.510638298
3098	0.510638298
3425	0.510638298
55577	0.510638298
5331	0.510638298
53	0.489361702
124583	0.489361702
1809	0.489361702
2026	0.489361702
954	0.489361702
112483	0.489361702
6472	0.489361702
518	0.468085106
535	0.468085106
10331	0.468085106
4191	0.468085106
4695	0.468085106
5831	0.468085106
6510	0.468085106
5250	0.468085106
376497	0.468085106
6578	0.468085106
10768	0.446808511
51529	0.446808511
1152	0.446808511
118881	0.446808511
2525	0.446808511
3291	0.446808511
3704	0.446808511
4597	0.446808511
4731	0.446808511
6520	0.446808511
6723	0.446808511
10948	0.446808511
29796	0.446808511
10195	0.425531915
483	0.425531915
1431	0.425531915
197258	0.425531915
2720	0.425531915
4704	0.425531915
5230	0.425531915
25796	0.425531915
8398	0.425531915
160728	0.425531915
8140	0.425531915
64132	0.425531915
2683	0.404255319
1337	0.404255319
1384	0.404255319
3157	0.404255319
3028	0.404255319
374291	0.404255319
5298	0.404255319
112724	0.404255319
30	0.382978723
51	0.382978723
51703	0.382978723
240	0.382978723
587	0.382978723
9167	0.382978723
