"33.6, 550.8","2, 18",pink
"33.6, 580.8","2, 19",pink
"33.6, 610.8","2, 20",pink
"33.6, 640.8","2, 21",pink
"33.6, 670.8","2, 22",pink
"62.6, 550.8","3, 18",pink
"62.6, 580.8","3, 19",pink
"62.6, 610.8","3, 20",pink
"62.6, 640.8","3, 21",pink
"62.6, 670.8","3, 22",pink
"62.6, 700.8","3, 23",pink
"91.6, 580.8","4, 19",pink
"91.6, 610.8","4, 20",pink
"91.6, 640.8","4, 21",green
"91.6, 670.8","4, 22",pink
"91.6, 700.8","4, 23",pink
"91.6, 760.8","4, 25",pink
"91.6, 790.8","4, 26",pink
"120.6, 580.8","5, 19",pink
"120.6, 610.8","5, 20",pink
"120.6, 640.8","5, 21",pink
"120.6, 670.8","5, 22",grey
"120.6, 700.8","5, 23",pink
"120.6, 760.8","5, 25",pink
"120.6, 790.8","5, 26",pink
"149.6, 70.8","6, 2",pink
"149.6, 100.8","6, 3",pink
"149.6, 130.8","6, 4",pink
"149.6, 610.8","6, 20",pink
"149.6, 640.8","6, 21",pink
"149.6, 670.8","6, 22",pink
"149.6, 700.8","6, 23",pink
"149.6, 760.8","6, 25",pink
"149.6, 790.8","6, 26",pink
"178.6, 70.8","7, 2",pink
"178.6, 100.8","7, 3",pink
"178.6, 130.8","7, 4",pink
"178.6, 670.8","7, 22",pink
"178.6, 700.8","7, 23",pink
"178.6, 760.8","7, 25",pink
"178.6, 790.8","7, 26",pink
"207.6, 70.8","8, 2",grey
"207.6, 100.8","8, 3",pink
"207.6, 130.8","8, 4",pink
"207.6, 670.8","8, 22",pink
"207.6, 700.8","8, 23",pink
"207.6, 760.8","8, 25",pink
"207.6, 790.8","8, 26",pink
"236.6, 70.8","9, 2",grey
"236.6, 100.8","9, 3",green
"236.6, 130.8","9, 4",green
"236.6, 160.8","9, 5",pink
"236.6, 190.8","9, 6",pink
"236.6, 250.8","9, 8",pink
"236.6, 280.8","9, 9",pink
"236.6, 550.8","9, 18",pink
"236.6, 580.8","9, 19",pink
"236.6, 610.8","9, 20",pink
"236.6, 700.8","9, 23",pink
"236.6, 760.8","9, 25",pink
