"6, 575","14, 15",turq
"6, 619","14, 16",pink
"6, 663","14, 17",pink
"6, 707","14, 18",pink
"50, 443","15, 12",grey
"50, 487","15, 13",grey
"50, 575","15, 15",turq
"50, 619","15, 16",pink
"50, 663","15, 17",pink
"50, 707","15, 18",pink
"94, 355","16, 10",grey
"94, 399","16, 11",grey
"94, 443","16, 12",turq
"94, 487","16, 13",turq
"94, 531","16, 14",turq
"94, 575","16, 15",turq
"94, 619","16, 16",turq
"94, 663","16, 17",pink
"94, 707","16, 18",pink
"94, 751","16, 19",pink
"138, 311","17, 9",grey
"138, 355","17, 10",turq
"138, 399","17, 11",turq
"138, 443","17, 12",turq
"138, 487","17, 13",turq
"138, 531","17, 14",turq
"138, 575","17, 15",turq
"138, 619","17, 16",turq
"138, 663","17, 17",pink
"138, 707","17, 18",pink
"138, 751","17, 19",pink
"138, 795","17, 20",pink
"182, 223","18, 7",grey
"182, 267","18, 8",grey
"182, 311","18, 9",turq
"182, 355","18, 10",turq
"182, 399","18, 11",turq
"182, 443","18, 12",turq
"182, 487","18, 13",turq
"182, 531","18, 14",turq
"182, 575","18, 15",grey
"182, 619","18, 16",turq
"182, 707","18, 18",pink
"182, 751","18, 19",pink
"182, 795","18, 20",pink
"226, 179","19, 6",turq
"226, 223","19, 7",grey
"226, 267","19, 8",grey
"226, 311","19, 9",grey
"226, 355","19, 10",turq
"226, 399","19, 11",turq
"226, 443","19, 12",turq
"226, 487","19, 13",turq
"226, 531","19, 14",turq
"226, 575","19, 15",turq
"226, 663","19, 17",turq
"226, 707","19, 18",pink
"226, 751","19, 19",pink
"226, 839","19, 21",pink
"270, 135","20, 5",turq
"270, 179","20, 6",turq
"270, 223","20, 7",grey
"270, 267","20, 8",turq
"270, 311","20, 9",grey
"270, 355","20, 10",grey
"270, 399","20, 11",grey
"270, 443","20, 12",grey
"270, 487","20, 13",grey
"270, 531","20, 14",grey
"270, 575","20, 15",turq
"270, 619","20, 16",turq
"270, 663","20, 17",turq
"270, 707","20, 18",pink
"270, 751","20, 19",pink
"270, 795","20, 20",pink
"270, 839","20, 21",pink
"314, 47","21, 3",grey
"314, 91","21, 4",grey
"314, 135","21, 5",turq
"314, 223","21, 7",grey
"314, 267","21, 8",grey
"314, 311","21, 9",grey
"314, 355","21, 10",turq
"314, 399","21, 11",grey
"314, 443","21, 12",grey
"314, 487","21, 13",turq
"314, 531","21, 14",turq
"314, 575","21, 15",grey
"314, 619","21, 16",turq
"314, 663","21, 17",turq
"314, 707","21, 18",pink
"314, 751","21, 19",pink
"314, 795","21, 20",pink
"314, 839","21, 21",pink
"358, 3","22, 2",grey
"358, 47","22, 3",grey
"358, 91","22, 4",turq
"358, 135","22, 5",grey
"358, 179","22, 6",grey
"358, 223","22, 7",grey
"358, 267","22, 8",turq
"358, 355","22, 10",grey
"358, 399","22, 11",grey
"358, 443","22, 12",grey
"358, 487","22, 13",grey
"358, 531","22, 14",turq
"358, 575","22, 15",grey
"358, 619","22, 16",turq
"358, 663","22, 17",turq
"358, 707","22, 18",grey
"358, 751","22, 19",pink
"358, 795","22, 20",pink
"358, 839","22, 21",pink
"402, 3","23, 2",grey
"402, 47","23, 3",grey
"402, 91","23, 4",turq
"402, 135","23, 5",grey
"402, 179","23, 6",grey
"402, 223","23, 7",grey
"402, 267","23, 8",grey
"402, 311","23, 9",grey
"402, 355","23, 10",grey
"402, 399","23, 11",grey
"402, 443","23, 12",grey
"402, 487","23, 13",grey
"402, 531","23, 14",turq
"402, 575","23, 15",grey
"402, 663","23, 17",turq
"402, 707","23, 18",grey
"402, 751","23, 19",pink
"402, 795","23, 20",pink
"402, 839","23, 21",pink
"446, 91","24, 4",turq
"446, 135","24, 5",grey
"446, 179","24, 6",turq
"446, 223","24, 7",grey
"446, 267","24, 8",grey
"446, 311","24, 9",grey
"446, 355","24, 10",grey
"446, 399","24, 11",grey
"446, 443","24, 12",grey
"446, 487","24, 13",grey
"446, 575","24, 15",turq
"446, 619","24, 16",turq
"446, 663","24, 17",turq
"446, 707","24, 18",grey
"446, 751","24, 19",grey
"446, 795","24, 20",pink
"446, 839","24, 21",pink
"490, 223","25, 7",grey
"490, 267","25, 8",grey
"490, 311","25, 9",grey
"490, 355","25, 10",grey
"490, 399","25, 11",grey
"490, 443","25, 12",grey
"490, 487","25, 13",grey
"490, 531","25, 14",turq
"490, 575","25, 15",turq
"490, 619","25, 16",grey
"490, 663","25, 17",turq
"490, 707","25, 18",grey
"490, 751","25, 19",pink
"490, 795","25, 20",pink
