genes,state
X5S_rRNA,0.0
X5_8S_rRNA,0.033898305
X7SK,0.008474576
A1BG.AS1,0.025423729
29974,0.008474576
2,1.059322034
A2M.AS1,0.042372880999999994
144568,0.0
53947,0.033898305
51146,0.008474576
8086,0.161016949
65985,0.06779661
13,0.0
51166,0.0
195827,0.025423729
79719,0.059322034
22848,0.118644068
28971,0.07627118599999999
14,0.305084746
25980,0.07627118599999999
441376,0.016949153
16,0.169491525
57505,0.016949153
80755,0.0
132949,0.0
60496,0.025423729
10157,0.0
26574,0.127118644
9625,0.033898305
18,0.016949153
ABBA01006766.1,0.008474576
19,0.033898305
10349,0.008474576
26154,0.0
154664,0.0
20,0.110169492
21,0.06779661
23461,0.033898305
23460,0.016949153
10347,0.059322034
10351,0.084745763
10350,0.008474576
5243,0.07627118599999999
23456,0.008474576
5244,0.025423729
340273,0.0
22,0.008474576
11194,0.118644068
23457,0.059322034
4363,0.050847458
89845,0.025423729
150000,0.0
8714,0.830508475
10257,0.008474576
10057,0.025423729
368,0.025423729
ABCC6P1,0.0
730013,0.0
6833,0.016949153
10060,0.025423729
215,0.042372880999999994
ABCD1P2,0.0
5825,0.025423729
5826,0.033898305
6059,0.016949153
23,0.36440678
10061,0.22033898300000002
55324,0.177966102
9619,0.084745763
84696,0.016949153
55347,0.050847458
83451,0.237288136
ABHD11.AS1,0.033898305
26090,0.101694915
145447,0.0
84945,0.025423729
25864,0.025423729
84836,0.330508475
116236,0.008474576
ABHD15.AS1,0.0
81926,0.186440678
ABHD17AP1,0.008474576
ABHD17AP3,0.118644068
ABHD17AP4,0.008474576
ABHD17AP5,0.016949153
ABHD17AP6,0.016949153
51104,0.008474576
58489,0.22033898300000002
80167,0.033898305
11057,0.186440678
171586,0.042372880999999994
63874,0.042372880999999994
51099,0.008474576
57406,0.0
79575,0.118644068
10006,0.050847458
ABI1P1,0.0
10152,0.144067797
51225,0.084745763
25890,0.033898305
25,0.33898305100000004
27,0.050847458
3983,0.288135593
84448,0.008474576
22885,0.042372880999999994
28,0.0
29,0.084745763
137735,0.0
58527,0.0
ABRAXAS1,0.008474576
ABRAXAS2,0.0
29777,0.016949153
80325,0.144067797
25841,0.042372880999999994
AC000032.1,0.008474576
AC000067.1,0.0
AC000068.1,0.0
AC000068.2,0.0
AC000068.3,0.0
AC000081.1,0.330508475
AC000089.1,1.830508475
AC000095.2,0.0
AC000123.2,0.0
AC000367.1,0.0
AC000403.1,0.008474576
AC001226.2,0.0
AC002044.1,0.008474576
AC002044.2,0.0
AC002056.1,0.0
AC002075.1,0.0
AC002075.2,0.855932203
AC002076.1,0.0
AC002094.2,0.0
AC002094.5,0.0
AC002306.1,0.008474576
AC002310.1,0.0
AC002310.3,0.0
AC002350.1,0.491525424
AC002350.2,0.0
AC002366.1,0.0
AC002367.1,0.016949153
AC002375.1,0.0
AC002384.1,0.0
AC002398.2,0.0
AC002401.4,0.0
AC002429.2,0.0
AC002465.1,0.0
AC002467.1,0.0
AC002470.1,0.0
AC002486.2,0.0
AC002504.1,0.0
AC002519.1,0.008474576
AC002519.2,0.0
AC002545.1,0.0
AC002546.1,0.0
AC002550.2,0.0
AC002558.1,0.211864407
AC002558.2,0.0
AC002558.3,0.0
AC002985.2,0.0
AC003001.2,0.016949153
AC003002.1,0.016949153
AC003029.1,0.008474576
AC003035.1,0.0
AC003071.1,0.016949153
AC003072.1,0.042372880999999994
AC003075.1,0.0
AC003087.1,0.0
AC003092.1,0.008474576
AC003101.1,0.0
AC003101.2,0.0
AC003102.1,0.042372880999999994
AC003102.2,0.008474576
AC003681.1,0.0
AC003684.1,0.0
AC003973.3,0.0
AC003975.1,0.008474576
AC003982.1,0.033898305
AC003986.3,0.0
AC004000.1,0.0
AC004006.1,0.0
AC004024.1,0.008474576
AC004057.1,0.855932203
AC004067.1,0.0
AC004069.1,0.110169492
AC004129.1,0.016949153
AC004130.1,0.0
AC004148.2,0.0
AC004156.1,0.042372880999999994
AC004217.1,0.07627118599999999
AC004223.1,0.22881355899999997
AC004224.1,0.016949153
AC004233.3,0.016949153
AC004233.4,0.016949153
AC004241.1,0.016949153
AC004241.3,0.008474576
AC004253.1,0.0
AC004257.1,0.0
AC004263.1,0.008474576
AC004263.2,0.0
AC004264.1,0.0
AC004381.2,0.0
AC004383.1,0.008474576
AC004386.1,2.118644068
AC004448.1,1.7796610169999998
AC004448.2,0.813559322
AC004448.4,0.0
AC004453.1,1.440677966
AC004461.1,0.0
AC004466.1,0.008474576
AC004466.2,0.008474576
AC004477.1,0.0
AC004490.1,0.0
AC004491.1,0.0
AC004494.1,0.008474576
AC004520.1,0.0
AC004528.1,0.0
AC004540.1,0.0
AC004540.2,0.0
AC004542.2,0.008474576
AC004543.1,0.0
AC004551.1,0.0
AC004552.1,0.830508475
AC004556.1,0.34745762700000005
AC004584.1,0.0
AC004584.2,0.008474576
AC004585.1,0.0
AC004596.1,0.0
AC004656.1,0.025423729
AC004678.2,0.0
AC004686.1,0.042372880999999994
AC004687.1,0.059322034
AC004690.2,0.008474576
AC004692.1,0.042372880999999994
AC004704.1,0.0
AC004706.3,0.0
AC004754.1,0.0
AC004771.4,0.0
AC004801.2,0.101694915
AC004801.4,0.0
AC004803.1,0.008474576
AC004812.2,0.016949153
AC004815.1,0.0
AC004816.1,0.0
AC004816.2,0.008474576
AC004817.3,0.016949153
