genes,state
1,0.02247191
29974,0
2,0.730337079
144568,0
53947,0.04494382
51146,0.011235955
8086,0.179775281
65985,0.033707865
51166,0
195827,0.011235955
79719,0.056179775
22848,0.078651685
28971,0.033707865
14,0.134831461
15,0
25980,0.011235955
441376,0
16,0.06741573
57505,0.101123596
80755,0.033707865
132949,0
60496,0.011235955
10157,0.06741573
26574,0.325842697
9625,0.011235955
18,0.02247191
19,0.101123596
10349,0.011235955
26154,0
154664,0
20,0.123595506
21,0.033707865
24,0
23461,0.033707865
23460,0.056179775
10347,0.078651685
10351,0.04494382
10350,0.056179775
5243,0.011235955
23456,0.033707865
8647,0
5244,0.011235955
340273,0.011235955
22,0.011235955
11194,0.191011236
23457,0.202247191
4363,0.02247191
89845,0.08988764
85320,0
1244,0
8714,0.741573034
10257,0.04494382
10057,0.078651685
368,0.011235955
6833,0.011235955
10060,0.02247191
215,0.04494382
225,0
5825,0.168539326
5826,0.101123596
6059,0.04494382
23,0.146067416
10061,0.056179775
55324,0.112359551
9619,0.06741573
9429,0
84696,0.02247191
55347,0.04494382
83451,0.224719101
26090,0.314606742
145447,0.011235955
84945,0.033707865
25864,0.033707865
84836,0.235955056
116236,0.011235955
81926,0.146067416
51104,0
58489,0.02247191
80167,0.033707865
11057,0.112359551
171586,0.02247191
63874,0.078651685
51099,0
57406,0
79575,0.101123596
10006,0.056179775
10152,0.04494382
51225,0.08988764
25890,0.04494382
25,0.247191011
27,0.101123596
3983,0.269662921
84448,0
22885,0
28,0.033707865
29,0.02247191
58527,0
29777,0.011235955
80325,0.303370787
25841,0.02247191
AC001226.2,0
AC002429.2,0
AC003002.1,0
AC004556.1,0.393258427
AC004754.1,0.011235955
AC005520.1,0
AC005726.2,0.06741573
AC005832.4,0
AC005885.1,0
AC006269.1,0
AC007040.2,0
AC007325.1,0
AC007325.2,0.02247191
AC007325.4,0.02247191
AC007906.2,0
AC008073.3,0
AC008162.2,0
AC008560.1,0
AC008758.4,0
AC008770.3,0
AC009119.2,0
AC009122.1,0
AC009779.3,0.011235955
AC010255.3,0
AC010616.1,0
AC011005.1,0
AC011043.1,0.06741573
AC011043.2,0
AC011511.1,0
AC011841.1,0
AC013271.1,0
AC013394.1,0
AC013470.2,0
AC015802.6,0
AC020915.1,0.011235955
AC021072.1,0
AC022400.6,0.011235955
AC023055.1,0.011235955
AC023491.2,0
AC023509.3,0
AC024940.1,0.011235955
AC025283.2,0
AC025287.4,0
AC026461.4,0
AC040162.1,0
AC068580.4,0
AC068775.1,0.02247191
AC073082.1,0
AC083902.2,0
AC090004.1,0
AC090360.1,0
AC092718.3,0
AC092718.8,0
AC092821.1,0.056179775
AC092835.1,0.011235955
AC097372.1,0.033707865
AC098650.1,0
AC098850.4,0
AC099489.1,0.011235955
AC100868.1,0
AC104581.1,0.011235955
AC106774.10,0
AC106774.5,0.011235955
AC106774.6,0.011235955
AC106774.7,0.011235955
AC106774.8,0
AC106774.9,0
AC106782.1,0
AC106886.5,0
AC107871.1,0
AC113554.2,0
AC115220.1,0
AC118553.2,0
AC126755.2,0.370786517
AC133555.3,0
AC136352.3,0
AC136352.4,0
AC136612.1,0
AC136616.1,0.011235955
AC138517.2,0.033707865
AC138969.1,0.370786517
AC145212.2,0
AC171558.1,0
AC233724.18,0.011235955
AC233724.19,0.011235955
AC233724.20,0.011235955
AC233724.21,0.011235955
AC233724.6,0.011235955
AC233755.2,0.011235955
AC239799.1,0
AC240274.1,0.157303371
AC243756.1,0
AC244197.3,0
30,0.213483146
10449,0.06741573
31,0.056179775
32,0.112359551
80724,0.011235955
84129,0
27034,0.02247191
28976,0.146067416
33,0
34,0.06741573
35,0.112359551
36,0.04494382
37,1.157303371
176,0
9744,0.112359551
23527,0.078651685
116983,0.438202247
38,0.033707865
39,0.101123596
64746,0.04494382
79777,0.02247191
91452,0.011235955
84320,0.02247191
414149,0.011235955
84680,0.157303371
65057,0.303370787
1636,0.033707865
59272,0
125981,0
55331,0.033707865
43,0.123595506
22985,0.123595506
2532,0.235955056
1238,0
57007,0.033707865
51554,0.033707865
47,0.202247191
130013,0
48,0.04494382
50,0.033707865
641371,0.011235955
26027,0.06741573
134526,0
55856,0.056179775
10965,0.011235955
11332,0.06741573
10005,0.033707865
23597,0.112359551
51,0.123595506
8309,0
8310,0.02247191
55289,0
52,0.157303371
53,0.202247191
54,0.06741573
51205,0.168539326
390928,0
55,0
49,0
84519,0.011235955
23205,0
81616,0
80221,0.168539326
197322,0.157303371
2180,0.112359551
2181,0.011235955
2182,0
51703,0.191011236
23305,0.02247191
116285,0
123876,0
348158,0.011235955
6296,0
54988,0.02247191
142827,0
84532,0.123595506
55902,0.191011236
79611,0.04494382
58,0
59,0.528089888
60,10.17977528
345651,0
70,0
71,1.02247191
72,0.393258427
170487,0
86,0.06741573
51412,0
87,1.280898876
88,0.011235955
81,1.101123596
55860,0.078651685
10121,0.134831461
10120,0.280898876
10097,0.134831461
10096,0.101123596
57180,0.011235955
653857,0
79913,0.168539326
64431,0.06741573
93973,0.04494382
90,0.033707865
91,0.033707865
130399,0
92,0.078651685
93,0.02247191
94,0.235955056
95,0
91703,0
97,0
98,0.033707865
100,0.179775281
ADA2,0.179775281
161931,0
161823,0.011235955
102,0.06741573
4185,0.02247191
8038,0.078651685
8751,0.314606742
6868,0.123595506
8749,0
8728,0.078651685
8748,0.011235955
8747,0
53616,0.011235955
8745,0.02247191
10863,0.213483146
11086,0.011235955
203102,0.011235955
80332,0.08988764
8756,0
101,0.292134831
8754,0.101123596
27299,0
9510,0.056179775
81794,0.168539326
81792,0.191011236
11093,0.02247191
140766,0.528089888
170689,0.101123596
170690,0.02247191
170692,0
171019,0
9509,0.191011236
80070,0
9508,0
9507,0.112359551
11096,0.011235955
11174,0.011235955
11173,0.056179775
11095,0.04494382
56999,0.157303371
92949,0.02247191
9719,0.213483146
57188,0
54507,0.123595506
339366,0.02247191
11033,0.056179775
55803,0.033707865
103,0.258426966
104,0.04494382
105,0
23536,0.011235955
134637,0.033707865
57143,0.08988764
90956,0.123595506
203054,0.101123596
107,0.04494382
55811,0.011235955
108,0
109,0.033707865
196883,0.134831461
111,0.02247191
112,0.146067416
113,0.056179775
114,0
115,0.056179775
116,0
117,0.011235955
118,0.415730337
119,0.011235955
120,0.101123596
79747,0
25960,0.314606742
166647,0.101123596
576,0.078651685
577,0.011235955
283383,0
ADGRD2,0.011235955
2015,0
30817,0
84658,0
976,0.213483146
266977,0.04494382
221393,0
221395,0.123595506
9289,0.02247191
10149,0.011235955
222487,0.02247191
139378,0
57211,0.078651685
84873,0
22859,0.08988764
23266,0.04494382
23284,0
64123,0.011235955
84059,0.056179775
124,0
125,0.011235955
126,0
127,0
128,0.101123596
130,0.011235955
137872,0.011235955
55256,0.101123596
9370,0
51094,0.04494382
79602,0.179775281
10974,0.337078652
132,0.02247191
133,0.02247191
79924,0.011235955
199800,0
23394,0.168539326
22850,0.02247191
84890,0.06741573
134,0.112359551
135,0
140,0
83440,0.06741573
141,0.02247191
113622,0
54936,0.101123596
56985,0
150,0.02247191
151,0.011235955
152,0.06741573
153,0
154,0
155,0
11047,0.269662921
158,0.056179775
159,0.06741573
122622,0.02247191
84830,0
165,5.865168539
121536,0.02247191
64782,0.04494382
166,0.966292135
60312,0.123595506
134265,0.033707865
84632,0.04494382
AFDN,0.483146067
4299,0.056179775
2334,0.011235955
3899,0
27125,0.269662921
AFG1L,0.011235955
10939,0.157303371
173,0
125061,0.04494382
174,0
54812,0.101123596
175,0.02247191
116987,0.123595506
116986,0.011235955
116988,0.280898876
119016,0.179775281
119016,0.202247191
642517,0.112359551
123624,0
79841,0
340351,0
84871,0
60509,0.101123596
177,0.04494382
3267,0.191011236
3268,0.06741573
55109,0.02247191
55750,0
178,0.06741573
79814,0.011235955
392636,0
26523,0.056179775
27161,0.157303371
192669,0.146067416
192670,0.056179775
10554,0.123595506
10555,0.797752809
56894,0.06741573
56895,0.134831461
55326,0
8540,0.011235955
10551,0.04494382
155465,0
375790,0.146067416
181,0
183,0.146067416
23287,0.02247191
185,0
57085,0.494382022
189,0.011235955
25909,0.04494382
191,0.078651685
10768,0.134831461
23382,0
27245,0.258426966
54806,0.134831461
79026,0.348314607
113146,0.539325843
196,0.056179775
57491,0.011235955
10598,0.101123596
130872,0.269662921
57379,0.011235955
64853,0.04494382
199,0.04494382
83543,0.02247191
9131,0
84883,0.033707865
51390,0.02247191
9447,0
9255,0.033707865
7965,0.02247191
9049,0.179775281
23746,0.02247191
326,0
55966,0
84962,0.04494382
203,0.011235955
204,0.101123596
50808,0.02247191
205,0.02247191
26289,0.02247191
102157402,0.011235955
122481,0
158067,0
221264,0
8165,0.112359551
11216,0.033707865
11215,0.078651685
9590,0.078651685
11214,0.191011236
158798,0.011235955
8227,0.078651685
8852,0
9495,0
9472,0
9465,0.011235955
10270,0.179775281
26993,0.314606742
10142,0.280898876
56672,0
79647,0.033707865
55122,0.011235955
80709,0.04494382
254268,0.011235955
10327,0.247191011
231,0.011235955
57016,0
441282,0
1645,0.04494382
1646,0.078651685
8644,0.06741573
1109,0.011235955
6718,0
83592,0
8574,0.04494382
22977,0
207,0.224719101
84335,0.292134831
208,0.224719101
10000,0.08988764
64400,0
AL031708.1,0
AL049697.1,0
AL117339.5,0
AL121594.3,0
AL136295.5,0.04494382
AL138694.1,0
AL139011.2,0
AL139353.1,0
AL159163.1,0
