genes,state
1,0.0
29974,0.0
2,1.125
144568,0.0
53947,0.102272727
51146,0.0
8086,0.159090909
65985,0.06818181799999999
51166,0.034090908999999996
195827,0.011363636000000002
79719,0.034090908999999996
22848,0.14772727300000002
28971,0.06818181799999999
14,0.272727273
15,0.011363636000000002
25980,0.045454545
441376,0.011363636000000002
16,0.102272727
57505,0.056818182
80755,0.011363636000000002
132949,0.0
60496,0.022727273
10157,0.045454545
26574,0.193181818
9625,0.011363636000000002
18,0.011363636000000002
19,0.06818181799999999
10349,0.056818182
26154,0.045454545
154664,0.011363636000000002
20,0.25
21,0.034090908999999996
24,0.0
23461,0.045454545
23460,0.034090908999999996
10347,0.079545455
10351,0.079545455
10350,0.034090908999999996
5243,0.022727273
23456,0.034090908999999996
8647,0.0
5244,0.022727273
340273,0.011363636000000002
22,0.011363636000000002
11194,0.318181818
23457,0.022727273
4363,0.034090908999999996
89845,0.06818181799999999
85320,0.011363636000000002
1244,0.0
8714,0.170454545
10257,0.034090908999999996
10057,0.06818181799999999
368,0.0
6833,0.0
10060,0.022727273
215,0.090909091
225,0.0
5825,0.0
5826,0.06818181799999999
6059,0.045454545
23,0.5
10061,0.181818182
55324,0.22727272699999998
9619,0.079545455
9429,0.0
84696,0.0
55347,0.022727273
83451,0.22727272699999998
26090,0.25
145447,0.011363636000000002
84945,0.022727273
25864,0.113636364
84836,0.397727273
116236,0.022727273
81926,0.13636363599999998
51104,0.011363636000000002
58489,0.034090908999999996
80167,0.045454545
11057,0.090909091
171586,0.034090908999999996
63874,0.034090908999999996
51099,0.011363636000000002
57406,0.0
79575,0.079545455
10006,0.079545455
10152,0.056818182
51225,0.079545455
25890,0.045454545
25,0.363636364
27,0.22727272699999998
3983,0.284090909
84448,0.011363636000000002
22885,0.011363636000000002
28,0.0
29,0.045454545
58527,0.022727273
29777,0.022727273
80325,0.329545455
25841,0.0
AC001226.2,0.0
AC002429.2,0.022727273
AC003002.1,0.022727273
AC004556.1,0.522727273
AC004754.1,0.0
AC005520.1,0.0
AC005726.2,0.045454545
AC005832.4,0.0
AC005885.1,0.0
AC006269.1,0.011363636000000002
AC007040.2,0.0
AC007325.1,0.0
AC007325.2,0.0
AC007325.4,0.170454545
AC007906.2,0.0
AC008073.3,0.0
AC008162.2,0.0
AC008560.1,0.0
AC008758.4,0.0
AC008770.3,0.0
AC009119.2,0.0
AC009122.1,0.0
AC009779.3,0.011363636000000002
AC010255.3,0.0
AC010616.1,0.011363636000000002
AC011005.1,0.0
AC011043.1,0.011363636000000002
AC011043.2,0.0
AC011511.1,0.0
AC011841.1,0.0
AC013271.1,0.0
AC013394.1,0.022727273
AC013470.2,0.0
AC015802.6,0.056818182
AC020915.1,0.011363636000000002
AC021072.1,0.0
AC022400.6,0.011363636000000002
AC023055.1,0.0
AC023491.2,0.0
AC023509.3,0.0
AC024940.1,0.011363636000000002
AC025283.2,0.022727273
AC025287.4,0.0
AC026461.4,0.0
AC040162.1,0.0
AC068580.4,0.0
AC068775.1,0.022727273
AC073082.1,0.011363636000000002
AC083902.2,0.0
AC090004.1,0.0
AC090360.1,0.0
AC092718.3,0.0
AC092718.8,0.0
AC092821.1,0.034090908999999996
AC092835.1,0.0
AC097372.1,0.0
AC098650.1,0.0
AC098850.4,0.0
AC099489.1,0.0
AC100868.1,0.011363636000000002
AC104581.1,0.056818182
AC106774.10,0.0
AC106774.5,0.0
AC106774.6,0.0
AC106774.7,0.0
AC106774.8,0.0
AC106774.9,0.0
AC106782.1,0.011363636000000002
AC106886.5,0.022727273
AC107871.1,0.0
AC113554.2,0.0
AC115220.1,0.0
AC118553.2,0.0
AC126755.2,0.704545455
AC133555.3,0.034090908999999996
AC136352.3,0.0
AC136352.4,0.0
AC136612.1,0.0
AC136616.1,0.011363636000000002
AC138517.2,0.011363636000000002
AC138969.1,0.681818182
AC145212.2,0.0
AC171558.1,0.0
AC233724.18,0.0
AC233724.19,0.0
AC233724.20,0.0
AC233724.21,0.0
AC233724.6,0.0
AC233755.2,0.0
AC239799.1,0.011363636000000002
AC240274.1,0.06818181799999999
AC243756.1,0.0
AC244197.3,0.0
30,0.25
10449,0.079545455
31,0.034090908999999996
32,0.090909091
80724,0.034090908999999996
84129,0.0
27034,0.0
28976,0.090909091
33,0.0
34,0.034090908999999996
35,0.056818182
36,0.011363636000000002
37,0.8636363640000001
176,0.034090908999999996
9744,0.06818181799999999
23527,0.056818182
116983,0.340909091
38,0.011363636000000002
39,0.022727273
64746,0.090909091
79777,0.022727273
91452,0.011363636000000002
84320,0.045454545
414149,0.0
84680,0.13636363599999998
65057,0.06818181799999999
1636,0.090909091
59272,0.011363636000000002
125981,0.011363636000000002
55331,0.079545455
43,0.056818182
22985,0.204545455
2532,0.102272727
1238,0.022727273
57007,0.045454545
51554,0.022727273
47,0.113636364
130013,0.0
48,0.079545455
50,0.056818182
641371,0.011363636000000002
26027,0.056818182
134526,0.011363636000000002
55856,0.0
10965,0.022727273
11332,0.13636363599999998
10005,0.056818182
23597,0.056818182
51,0.14772727300000002
8309,0.011363636000000002
8310,0.079545455
55289,0.011363636000000002
52,0.079545455
53,0.22727272699999998
54,0.159090909
51205,0.011363636000000002
390928,0.0
55,0.0
49,0.022727273
84519,0.0
23205,0.011363636000000002
81616,0.0
80221,0.113636364
197322,0.14772727300000002
2180,0.090909091
2181,0.022727273
2182,0.034090908999999996
51703,0.204545455
23305,0.0
116285,0.0
123876,0.022727273
348158,0.011363636000000002
6296,0.011363636000000002
54988,0.022727273
142827,0.0
84532,0.170454545
55902,0.125
79611,0.022727273
58,0.011363636000000002
59,0.931818182
60,14.39772727
345651,0.022727273
70,0.0
71,1.1477272729999999
72,0.477272727
170487,0.011363636000000002
86,0.011363636000000002
51412,0.0
87,1.2727272729999999
88,0.0
81,1.613636364
55860,0.06818181799999999
10121,0.238636364
10120,0.090909091
10097,0.06818181799999999
10096,0.14772727300000002
57180,0.011363636000000002
653857,0.0
79913,0.022727273
64431,0.079545455
93973,0.034090908999999996
90,0.045454545
91,0.034090908999999996
130399,0.022727273
92,0.125
93,0.0
94,0.352272727
95,0.011363636000000002
91703,0.0
97,0.0
98,0.022727273
100,0.113636364
ADA2,0.25
161931,0.011363636000000002
161823,0.011363636000000002
102,0.045454545
4185,0.0
8038,0.113636364
8751,0.9659090909999999
6868,0.102272727
8749,0.0
8728,0.193181818
8748,0.0
8747,0.0
53616,0.056818182
8745,0.045454545
10863,0.113636364
11086,0.0
203102,0.011363636000000002
80332,0.159090909
8756,0.0
101,0.06818181799999999
8754,0.056818182
27299,0.022727273
9510,0.06818181799999999
81794,0.170454545
81792,0.352272727
11093,0.06818181799999999
