genes,state
X5S_rRNA,0.0
X5_8S_rRNA,0.015873016
X7SK,0.0
A1BG.AS1,0.031746032
29974,0.047619048
2,2.555555556
A2M.AS1,0.047619048
144568,0.0
53947,0.174603175
51146,0.111111111
8086,0.28571428600000004
65985,0.14285714300000002
13,0.031746032
51166,0.047619048
195827,0.063492063
79719,0.19047619
22848,0.28571428600000004
28971,0.23809523800000001
14,0.825396825
25980,0.095238095
441376,0.0
16,0.222222222
57505,0.031746032
80755,0.015873016
132949,0.047619048
60496,0.047619048
10157,0.0
26574,0.222222222
9625,0.015873016
18,0.063492063
ABBA01006766.1,0.0
19,0.015873016
10349,0.095238095
26154,0.0
154664,0.0
20,0.111111111
21,0.14285714300000002
23461,0.111111111
23460,0.031746032
10347,0.126984127
10351,0.206349206
10350,0.031746032
5243,0.047619048
23456,0.079365079
5244,0.0
340273,0.0
22,0.095238095
11194,0.174603175
23457,0.047619048
4363,0.047619048
89845,0.047619048
150000,0.0
8714,1.73015873
10257,0.0
10057,0.14285714300000002
368,0.095238095
ABCC6P1,0.015873016
730013,0.0
6833,0.28571428600000004
10060,0.031746032
215,0.206349206
ABCD1P2,0.015873016
5825,0.063492063
5826,0.047619048
6059,0.031746032
23,0.53968254
10061,0.333333333
55324,0.6190476189999999
9619,0.111111111
84696,0.015873016
55347,0.174603175
83451,0.317460317
ABHD11.AS1,0.031746032
26090,0.46031746
145447,0.0
84945,0.047619048
25864,0.253968254
84836,0.793650794
116236,0.158730159
ABHD15.AS1,0.015873016
81926,0.206349206
ABHD17AP1,0.0
ABHD17AP3,0.174603175
ABHD17AP4,0.0
ABHD17AP5,0.0
ABHD17AP6,0.031746032
51104,0.015873016
58489,0.14285714300000002
80167,0.031746032
11057,0.412698413
171586,0.079365079
63874,0.206349206
51099,0.031746032
57406,0.0
79575,0.015873016
10006,0.063492063
ABI1P1,0.0
10152,0.23809523800000001
51225,0.174603175
25890,0.0
25,0.7142857140000001
27,0.047619048
3983,0.7142857140000001
84448,0.126984127
22885,0.079365079
28,0.0
29,0.206349206
137735,0.0
58527,0.015873016
ABRAXAS1,0.015873016
ABRAXAS2,0.0
29777,0.174603175
80325,0.365079365
25841,0.0
AC000032.1,0.0
AC000067.1,0.0
AC000068.1,0.015873016
AC000068.2,0.0
AC000068.3,0.0
AC000081.1,1.476190476
AC000089.1,6.523809524
AC000095.2,0.0
AC000123.2,0.0
AC000367.1,0.015873016
AC000403.1,0.0
AC001226.2,0.0
AC002044.1,0.031746032
AC002044.2,0.047619048
AC002056.1,0.047619048
AC002075.1,0.0
AC002075.2,2.333333333
AC002076.1,0.0
AC002094.2,0.0
AC002094.5,0.0
AC002306.1,0.0
AC002310.1,0.031746032
AC002310.3,0.015873016
AC002350.1,1.7936507940000002
AC002350.2,0.0
AC002366.1,0.0
AC002367.1,0.047619048
AC002375.1,0.0
AC002384.1,0.0
AC002398.2,0.0
AC002401.4,0.063492063
AC002429.2,0.015873016
AC002465.1,0.015873016
AC002467.1,0.015873016
AC002470.1,0.0
AC002486.2,0.0
AC002504.1,0.0
AC002519.1,0.0
AC002519.2,0.0
AC002545.1,0.0
AC002546.1,0.031746032
AC002550.2,0.0
AC002558.1,0.650793651
AC002558.2,0.0
AC002558.3,0.0
AC002985.2,0.0
AC003001.2,0.031746032
AC003002.1,0.031746032
AC003029.1,0.0
AC003035.1,0.0
AC003071.1,0.111111111
AC003072.1,0.047619048
AC003075.1,0.0
AC003087.1,0.0
AC003092.1,0.0
AC003101.1,0.0
AC003101.2,0.047619048
AC003102.1,0.095238095
AC003102.2,0.031746032
AC003681.1,0.095238095
AC003684.1,0.0
AC003973.3,0.0
AC003975.1,0.0
AC003982.1,0.079365079
AC003986.3,0.015873016
AC004000.1,0.0
AC004006.1,0.0
AC004024.1,0.0
AC004057.1,3.365079365
AC004067.1,0.031746032
AC004069.1,0.23809523800000001
AC004129.1,0.015873016
AC004130.1,0.0
AC004148.2,0.015873016
AC004156.1,0.14285714300000002
AC004217.1,0.222222222
AC004223.1,0.8412698409999999
AC004224.1,0.031746032
AC004233.3,0.079365079
AC004233.4,0.015873016
AC004241.1,0.0
AC004241.3,0.0
AC004253.1,0.0
AC004257.1,0.0
AC004263.1,0.015873016
AC004263.2,0.015873016
AC004264.1,0.0
AC004381.2,0.0
AC004383.1,0.095238095
AC004386.1,9.111111111
AC004448.1,6.174603175
AC004448.2,3.6031746030000003
AC004448.4,0.0
AC004453.1,5.650793651
AC004461.1,0.031746032
AC004466.1,0.0
AC004466.2,0.0
AC004477.1,0.0
AC004490.1,0.031746032
AC004491.1,0.0
AC004494.1,0.0
AC004520.1,0.0
AC004528.1,0.0
AC004540.1,0.015873016
AC004540.2,0.047619048
AC004542.2,0.0
AC004543.1,0.0
AC004551.1,0.0
AC004552.1,3.365079365
AC004556.1,0.5555555560000001
AC004584.1,0.0
AC004584.2,0.015873016
AC004585.1,0.0
AC004596.1,0.0
AC004656.1,0.015873016
AC004678.2,0.0
AC004686.1,0.079365079
AC004687.1,0.063492063
AC004690.2,0.0
AC004692.1,0.206349206
AC004704.1,0.0
AC004706.3,0.015873016
AC004754.1,0.0
AC004771.4,0.0
AC004801.2,0.333333333
AC004801.4,0.0
AC004803.1,0.0
AC004812.2,0.079365079
AC004815.1,0.015873016
AC004816.1,0.0
AC004816.2,0.0
AC004817.3,0.0
AC004824.1,0.0
AC004825.2,0.0
AC004834.1,0.0
