genes,state
X5S_rRNA,0.0
X5_8S_rRNA,0.029850746
X7SK,0.0
A1BG.AS1,0.0
29974,0.014925373
2,0.5671641789999999
A2M.AS1,0.014925373
144568,0.0
53947,0.02238806
51146,0.0
8086,0.044776119
65985,0.02238806
13,0.0
51166,0.0
195827,0.0
79719,0.02238806
22848,0.074626866
28971,0.02238806
14,0.201492537
25980,0.029850746
441376,0.0
16,0.17164179100000002
57505,0.02238806
80755,0.0
132949,0.0
60496,0.014925373
10157,0.007462687
26574,0.082089552
9625,0.0
18,0.0
ABBA01006766.1,0.0
19,0.0
10349,0.0
26154,0.02238806
154664,0.0
20,0.029850746
21,0.02238806
23461,0.0
23460,0.0
10347,0.097014925
10351,0.02238806
10350,0.014925373
5243,0.014925373
23456,0.0
5244,0.0
340273,0.0
22,0.007462687
11194,0.044776119
23457,0.02238806
4363,0.014925373
89845,0.014925373
150000,0.0
8714,0.320895522
10257,0.0
10057,0.014925373
368,0.014925373
ABCC6P1,0.0
730013,0.0
6833,0.029850746
10060,0.014925373
215,0.014925373
ABCD1P2,0.0
5825,0.014925373
5826,0.0
6059,0.007462687
23,0.156716418
10061,0.082089552
55324,0.104477612
9619,0.059701493
84696,0.007462687
55347,0.029850746
83451,0.156716418
ABHD11.AS1,0.02238806
26090,0.141791045
145447,0.0
84945,0.014925373
25864,0.007462687
84836,0.246268657
116236,0.007462687
ABHD15.AS1,0.014925373
81926,0.097014925
ABHD17AP1,0.0
ABHD17AP3,0.089552239
ABHD17AP4,0.0
ABHD17AP5,0.0
ABHD17AP6,0.007462687
51104,0.007462687
58489,0.089552239
80167,0.02238806
11057,0.082089552
171586,0.014925373
63874,0.074626866
51099,0.029850746
57406,0.0
79575,0.02238806
10006,0.0
ABI1P1,0.0
10152,0.067164179
51225,0.029850746
25890,0.0
25,0.134328358
27,0.029850746
3983,0.134328358
84448,0.0
22885,0.014925373
28,0.02238806
29,0.029850746
137735,0.0
58527,0.007462687
ABRAXAS1,0.014925373
ABRAXAS2,0.014925373
29777,0.029850746
80325,0.052238806
25841,0.0
AC000032.1,0.0
AC000067.1,0.0
AC000068.1,0.0
AC000068.2,0.0
AC000068.3,0.0
AC000081.1,0.253731343
AC000089.1,1.1343283579999999
AC000095.2,0.0
AC000123.2,0.007462687
AC000367.1,0.0
AC000403.1,0.0
AC001226.2,0.007462687
AC002044.1,0.02238806
AC002044.2,0.007462687
AC002056.1,0.007462687
AC002075.1,0.0
AC002075.2,0.73880597
AC002076.1,0.0
AC002094.2,0.0
AC002094.5,0.0
AC002306.1,0.0
AC002310.1,0.0
AC002310.3,0.0
AC002350.1,0.30597014899999997
AC002350.2,0.007462687
AC002366.1,0.0
AC002367.1,0.029850746
AC002375.1,0.0
AC002384.1,0.0
AC002398.2,0.0
AC002401.4,0.007462687
AC002429.2,0.0
AC002465.1,0.0
AC002467.1,0.0
AC002470.1,0.029850746
AC002486.2,0.014925373
AC002504.1,0.0
AC002519.1,0.0
AC002519.2,0.0
AC002545.1,0.0
AC002546.1,0.0
AC002550.2,0.0
AC002558.1,0.082089552
AC002558.2,0.0
AC002558.3,0.0
AC002985.2,0.0
AC003001.2,0.0
AC003002.1,0.0
AC003029.1,0.0
AC003035.1,0.0
AC003071.1,0.037313433
AC003072.1,0.0
AC003075.1,0.007462687
AC003087.1,0.0
AC003092.1,0.007462687
AC003101.1,0.0
AC003101.2,0.0
AC003102.1,0.007462687
AC003102.2,0.0
AC003681.1,0.02238806
AC003684.1,0.0
AC003973.3,0.0
AC003975.1,0.0
AC003982.1,0.014925373
AC003986.3,0.0
AC004000.1,0.0
AC004006.1,0.0
AC004024.1,0.0
AC004057.1,0.656716418
AC004067.1,0.0
AC004069.1,0.037313433
AC004129.1,0.0
AC004130.1,0.0
AC004148.2,0.029850746
AC004156.1,0.014925373
AC004217.1,0.059701493
AC004223.1,0.156716418
AC004224.1,0.007462687
AC004233.3,0.02238806
AC004233.4,0.0
AC004241.1,0.0
AC004241.3,0.0
AC004253.1,0.0
AC004257.1,0.0
AC004263.1,0.0
AC004263.2,0.0
AC004264.1,0.0
AC004381.2,0.0
AC004383.1,0.007462687
AC004386.1,1.455223881
AC004448.1,0.9701492540000001
AC004448.2,0.768656716
AC004448.4,0.0
AC004453.1,0.9253731340000001
AC004461.1,0.007462687
AC004466.1,0.007462687
AC004466.2,0.0
