genes,state
X5S_rRNA,0.0
X5_8S_rRNA,0.008849558
X7SK,0.0
A1BG.AS1,0.008849558
29974,0.0
2,0.424778761
A2M.AS1,0.008849558
144568,0.0
53947,0.168141593
51146,0.017699115
8086,0.15044247800000002
65985,0.0
13,0.0
51166,0.008849558
195827,0.0
79719,0.044247787999999996
22848,0.061946903
28971,0.132743363
14,0.265486726
25980,0.026548673
441376,0.008849558
16,0.221238938
57505,0.053097345
80755,0.0
132949,0.0
60496,0.026548673
10157,0.0
26574,0.230088496
9625,0.026548673
18,0.017699115
ABBA01006766.1,0.0
19,0.008849558
10349,0.0
26154,0.008849558
154664,0.0
20,0.123893805
21,0.008849558
23461,0.008849558
23460,0.0
10347,0.15044247800000002
10351,0.053097345
10350,0.0
5243,0.0
23456,0.008849558
5244,0.0
340273,0.0
22,0.044247787999999996
11194,0.18584070800000002
23457,0.03539823
4363,0.03539823
89845,0.079646018
150000,0.0
8714,0.716814159
10257,0.0
10057,0.07079646
368,0.008849558
ABCC6P1,0.017699115
730013,0.008849558
6833,0.008849558
10060,0.0
215,0.026548673
ABCD1P2,0.0
5825,0.026548673
5826,0.026548673
6059,0.017699115
23,0.318584071
10061,0.10619469
55324,0.274336283
9619,0.09734513300000001
84696,0.0
55347,0.088495575
83451,0.530973451
ABHD11.AS1,0.03539823
26090,0.24778761100000002
145447,0.0
84945,0.0
25864,0.026548673
84836,0.274336283
116236,0.044247787999999996
ABHD15.AS1,0.0
81926,0.07079646
ABHD17AP1,0.0
ABHD17AP3,0.061946903
ABHD17AP4,0.0
ABHD17AP5,0.0
ABHD17AP6,0.0
51104,0.008849558
58489,0.6017699120000001
80167,0.008849558
11057,0.230088496
171586,0.0
63874,0.115044248
51099,0.008849558
57406,0.0
79575,0.008849558
10006,0.026548673
ABI1P1,0.017699115
10152,0.053097345
51225,0.026548673
25890,0.0
25,0.274336283
27,0.09734513300000001
3983,0.513274336
84448,0.008849558
22885,0.079646018
28,0.017699115
29,0.03539823
137735,0.0
58527,0.017699115
ABRAXAS1,0.017699115
ABRAXAS2,0.008849558
29777,0.07079646
80325,0.513274336
25841,0.0
AC000032.1,0.0
AC000067.1,0.008849558
AC000068.1,0.0
AC000068.2,0.0
AC000068.3,0.0
AC000081.1,0.10619469
AC000089.1,1.495575221
AC000095.2,0.0
AC000123.2,0.0
AC000367.1,0.0
AC000403.1,0.0
AC001226.2,0.008849558
AC002044.1,0.026548673
AC002044.2,0.0
AC002056.1,0.0
AC002075.1,0.0
AC002075.2,0.37168141600000004
AC002076.1,0.0
AC002094.2,0.0
AC002094.5,0.0
AC002306.1,0.0
AC002310.1,0.0
AC002310.3,0.0
AC002350.1,0.10619469
AC002350.2,0.0
AC002366.1,0.0
AC002367.1,0.008849558
AC002375.1,0.0
AC002384.1,0.0
AC002398.2,0.0
AC002401.4,0.03539823
AC002429.2,0.0
AC002465.1,0.0
AC002467.1,0.0
AC002470.1,0.008849558
AC002486.2,0.0
AC002504.1,0.0
AC002519.1,0.0
AC002519.2,0.008849558
AC002545.1,0.0
AC002546.1,0.0
AC002550.2,0.008849558
AC002558.1,0.18584070800000002
AC002558.2,0.0
AC002558.3,0.0
AC002985.2,0.0
AC003001.2,0.017699115
AC003002.1,0.026548673
AC003029.1,0.0
AC003035.1,0.0
AC003071.1,0.0
AC003072.1,0.0
AC003075.1,0.0
AC003087.1,0.0
AC003092.1,0.008849558
AC003101.1,0.0
AC003101.2,0.0
AC003102.1,0.03539823
AC003102.2,0.0
AC003681.1,0.03539823
AC003684.1,0.0
AC003973.3,0.0
AC003975.1,0.0
AC003982.1,0.017699115
AC003986.3,0.0
AC004000.1,0.0
AC004006.1,0.0
AC004024.1,0.0
AC004057.1,0.522123894
AC004067.1,0.0
AC004069.1,0.15044247800000002
AC004129.1,0.008849558
AC004130.1,0.0
AC004148.2,0.0
AC004156.1,0.017699115
AC004217.1,0.044247787999999996
AC004223.1,0.07079646
AC004224.1,0.017699115
AC004233.3,0.017699115
AC004233.4,0.0
AC004241.1,0.0
AC004241.3,0.008849558
AC004253.1,0.0
AC004257.1,0.0
AC004263.1,0.0
AC004263.2,0.017699115
AC004264.1,0.008849558
AC004381.2,0.0
AC004383.1,0.0
