entrezgene,hgnc_symbol
NA,RNU6-280P
NA,
NA,
NA,
NA,
NA,
102723924,
NA,
NA,RNU1-62P
NA,
NA,
NA,
NA,DPPA2P2
NA,SERTAD4-AS1
NA,RNA5SP136
101929901,
23429,RYBP
100132074,FOXO6
3635,INPP5D
29989,OBP2B
56256,SERTAD4
6566,SLC16A1
NA,ST13P19
NA,
NA,LCN1P1
NA,AKR7A2P1
NA,
100996251,
NA,LCN1P2
23522,KAT6B
55733,HHAT
6838,SURF6
6195,RPS6KA1
4705,NDUFA10
NA,
NA,
NA,
353274,ZNF445
29943,PADI1
6837,MED22
NA,RNU5A-8P
NA,
285346,ZNF852
51702,PADI3
NA,RN7SL32P
NA,EI24P3
NA,
100616188,MIR3972
23569,PADI4
NA,
100302190,MIR1976
NA,RN7SL679P
NA,
55888,ZKSCAN7
NA,RNU7-29P
NA,
NA,
NA,
NA,
6130,RPL7A
353238,PADI6
NA,
NA,
55920,RCC2
26820,SNORD24
NA,SNORD36B
26815,SNORD36A
26813,SNORD36C
NA,
285349,ZNF660
NA,MPRIPP1
6834,SURF1
55054,ATG16L1
10168,ZNF197
6835,SURF2
100874094,ZNF197-AS1
7584,ZNF35
6836,SURF4
NA,
NA,SOCS5P3
91392,ZNF502
115560,ZNF501
57456,KIAA1143
169436,STKLD1
57109,REXO4
677775,SCARNA5
677772,SCARNA6
56992,KIF15
6295,SAG
NA,
131616,TMEM42
131616,TMEM42
693149,TMEM42
693149,TMEM42
7047,TGM4
8527,DGKD
11093,ADAMTS13
NA,
51304,ZDHHC3
NA,
11094,CACFD1
11182,SLC2A6
28,ABO
605,BCL7A
100506691,
NA,
NA,CTBP2P1
NA,
100507747,
100885778,NALCN-AS1
440560,PRAMEF11
NA,LINC00411
26080,FAM230C
NA,
NA,GGT4P
22877,MLXIP
NA,
NA,PRAMEF30P
NA,SETD8P1
343069,HNRNPCL1
NA,
79370,BCL2L14
22821,RASA3
65122,PRAMEF2
400735,PRAMEF4
343071,PRAMEF10
NA,RASA3-IT1
441871,PRAMEF7
NA,RNU6-1072P
NA,PRAMEF29P
NA,
NA,IGKV5-2
440561,PRAMEF6
NA,
103504734,MIR1244-4
283150,FOXR1
NA,PRAMEF28
101929983,PRAMEF27
NA,
NA,
NA,
441873,PRAMEF25
4040,LRP6
649330,HNRNPCL3
NA,PRAMEF34P
NA,PRAMEF35P
338657,CCDC84
440563,HNRNPCL2
NA,PRAMEF36P
NA,
645359,PRAMEF26
101060301,HNRNPCL4
343070,PRAMEF9
NA,PRAMEF13
391003,PRAMEF18
NA,PRAMEF31P
NA,RPL23AP64
NA,
343068,PRAMEF5
NA,
NA,PRAMEF32P
NA,RNU6-443P
NA,RNU6-771P
NA,
6230,RPS25
391002,PRAMEF8
NA,
338599,DUPD1
NA,RNU6-545P
NA,
NA,RNU6-318P
54682,MANSC1
653619,PRAMEF15
NA,RPL23AP66
503693,LOH12CR2
NA,PRAMEF33P
118426,BORCS5
645414,
NA,
80824,DUSP16
51399,TRAPPC4
51399,TRAPPC4
100500840,TRAPPC4
100500840,TRAPPC4
NA,
NA,
NA,
342900,LEUTX
NA,
9149,DYRK1B
102465974,MIR6719
10525,HYOU1
2091,FBL
NA,PRR13P5
5704,PSMC4
339327,ZNF546
NA,
163131,ZNF780B
NA,
NA,
NA,
284323,ZNF780A
55823,VPS11
NA,
8857,FCGBP
3145,HMBS
2542,SLC37A4
84896,ATAD1
142913,CFL1P1
9811,CTIF
NA,RN7SL78P
NA,
NA,NDUFB11P1
NA,
NA,
NA,
NA,MED6P1
100144748,KLLN
NA,
5728,PTEN
2483,FRG1
120114,FAT3
NA,
100616366,MIR4743
105372107,
NA,
NA,
NA,PGAM1P9
NA,
11184,MAP4K1
NA,IGKV7-3
NA,PGBD4P5
1804,DPP6
NA,IGKV2-4
NA,IGKV1-5
NA,IGKV1-6
NA,IGKV3-7
NA,IGKV1-8
NA,IGKV1-9
NA,IGKV2-10
NA,IGKV3-11
NA,IGKV1-12
NA,IGKV1-13
NA,IGKV2-14
NA,IGKV3-15
NA,IGKV1-16
NA,IGKV1-17
NA,IGKV2-18
NA,IGKV2-19
NA,IGKV3-20
NA,IGKV6-21
NA,IGKV1-22
NA,IGKV2-23
NA,IGKV2-24
NA,IGKV3-25
NA,IGKV2-26
NA,
NA,IGKV1-27
25998,IBTK
NA,IGKV2-28
NA,IGKV2-29
9223,MAGI1
NA,IGKV2-30
NA,IGKV3-31
NA,IGKV1-32
NA,IGKV1-33
NA,IGKV3-34
NA,IGKV1-35
NA,IGKV2-36
NA,IGKV1-37
NA,IGKV2-38
NA,IGKV1-39
NA,IGKV2-40
NA,
105372397,
27335,EIF3K
NA,RNU6-130P
NA,
7162,TPBG
81,ACTN4
115286,SLC25A26
NA,RNU6-787P
NA,RN7SL482P
NA,
NA,
3963,LGALS7B
3963,LGALS7B
653499,LGALS7B
653499,LGALS7B
3963,LGALS7
3963,LGALS7
653499,LGALS7
653499,LGALS7
NA,RNU6-140P
3960,LGALS4
26018,LRIG1
1891,ECH1
NA,
NA,
3191,HNRNPL
NA,
126432,RINL
NA,
22933,SIRT2
4793,NFKBIB
643669,CCER2
54938,SARS2
NA,
6183,MRPS12
NA,
115290,FBXO17
126433,FBXO27
147968,CAPN12
NA,
NA,
NA,
NA,RN7SL673P
NA,DNM1P28
89837,ULK4P3
NA,
NA,RN7SL469P
NA,DNM1P30
25834,MGAT4C
NA,
26082,
NA,
NA,RNU6-409P
NA,
NA,
NA,RNU6-17P
NA,
NA,
NA,
283299,
NA,
49,ACR
4588,MUC6
NA,
NA,
NA,
NA,RN7SL628P
NA,
120065,OR5P2
120066,OR5P3
NA,ULK4P2
NA,OR5E1P
NA,RNU6-943P
NA,
390093,OR10A6
NA,
NA,
26496,OR10A3
NA,
NA,DNM1P50
338322,NLRP10
NA,RPL23AP82
NA,
728047,GOLGA8Q
NA,
4586,MUC5AC
NA,MLLT10P2
NA,
8665,EIF3F
NA,
NA,RN7SL796P
NA,TUBB7P
NA,
NA,RNA5SP174
NA,
NA,RNA5SP175
NA,DUX4L9
NA,
NA,RARRES2P4
NA,RN7SL286P
NA,DUX4L8
NA,RPL23AP84
NA,
NA,
4700,NDUFA6
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
6447,SCG5
NA,
NA,
100288687,
NA,OLA1P1
NA,
NA,
NA,CYP2D8P
6942,TCF20
105370757,
100131315,
NA,
26585,GREM1
653073,GOLGA8J
1139,
89839,
643699,GOLGA8N
9824,ARHGAP11A
1565,CYP2D6
NA,
NA,CYP2D8P
6942,TCF20
NA,
NA,
NA,RN7SKP178
NA,
NA,
NA,
441009,CPEB2-AS1
NA,
NA,
NA,LINC01355
NA,
1447,CSN2
NA,
NA,OLA1P1
NA,PRAMEF28
NA,
NA,OLA1P1
NA,
101929983,PRAMEF27
NA,CYP2D8P
10942,PRSS21
221692,PHACTR1
441873,PRAMEF25
6942,TCF20
6779,STATH
6905,TBCE
1565,CYP2D6
649330,HNRNPCL3
10236,HNRNPR
NA,PRAMEF34P
NA,PRAMEF35P
NA,
440563,HNRNPCL2
NA,PRAMEF36P
NA,
NA,
3347,HTN3
54768,HYDIN
645359,PRAMEF26
NA,EIF1P4
132864,CPEB2
101060301,HNRNPCL4
124220,ZG16B
343070,PRAMEF9
NA,PRAMEF31P
343068,PRAMEF5
NA,PRAMEF32P
3346,HTN1
NA,RNU6-443P
NA,RNU6-771P
NA,
124221,PRSS30P
NA,
NA,
391002,PRAMEF8
23026,MYO16
NA,
NA,
286828,CSN1S2AP
64063,PRSS22
653619,PRAMEF15
NA,RPS21P1
80818,ZNF436
NA,CYP2D7
401137,PRR27
NA,PRAMEF33P
653606,
NA,ZNF436-AS1
148789,B3GALNT2
NA,
NA,
6920,TCEA3
342184,FMN1
NA,MTCYBP14
NA,MTND6P14
NA,MTND5P19
NA,MTND4P10
NA,MTND4LP21
NA,MTND3P8
NA,MTCO3P46
NA,
101929095,
NA,CYP2D8P
2786,GNG4
NA,
6942,TCF20
NA,
23085,ERC1
NA,
NA,
55616,ASAP3
5789,PTPRD
794,CALB2
NA,
55783,CMTR2
64693,CTAGE1
NA,
NA,RPS4XP18
1870,E2F2
NA,LINC01515
NA,
3399,ID3
NA,RPS26P3
54891,INO80D
NA,
NA,
NA,
NA,
NA,
2483,FRG1
1565,CYP2D6
NA,MLLT10P2
NA,
NA,TUBB7P
NA,RNA5SP174
NA,RNA5SP175
NA,DUX4L9
NA,RARRES2P4
NA,DUX4L8
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
100288687,
NA,
NA,
NA,
NA,
NA,CYP2D8P
6942,TCF20
4719,NDUFS1
NA,
NA,
NA,
NA,GCSHP3
1933,EEF1B2
NA,
NA,
NA,SNORD51
619569,SNORA41
2825,GPR1
101669764,GPR1-AS
NA,RN7SKP200
NA,HMGN1P6
NA,RN7SKP260
57683,ZDBF2
NA,
NA,
NA,HNRNPA1P51
NA,MT-TF
NA,MT-RNR1
NA,MT-TV
NA,MT-RNR2
NA,MT-TL1
4535,MT-ND1
NA,MT-TI
NA,
NA,MT-TQ
NA,MT-TM
4536,MT-ND2
NA,
NA,MT-TW
NA,
NA,MT-TA
NA,MT-TN
NA,MT-TC
NA,MT-TY
4512,MT-CO1
NA,MT-TS1
NA,MT-TD
4513,MT-CO2
NA,MT-TK
NA,
NA,RPS2P25
4509,MT-ATP8
102724849,
NA,GAPDHP49
4508,MT-ATP6
NA,
NA,HNRNPA1P36
441457,NUTM2G
105274304,
NA,
26585,GREM1
NA,FTH1P7
4514,MT-CO3
NA,CDK5PS
NA,
NA,MT-TG
4537,MT-ND3
NA,
NA,RPL13P6
100422952,MIR4271
NA,MT-TR
84075,FSCB
NA,
NA,
4539,MT-ND4L
NA,
NA,SNORD35B
4538,MT-ND4
26771,SNORD102
NA,MT-TH
100616351,MIR4670
NA,MT-TS2
NA,MT-TL2
105372626,
NA,
138724,C9orf131
4540,MT-ND5
135927,C7orf34
NA,RN7SKP7
NA,LINC01149
NA,RN7SKP56
4541,MT-ND6
NA,RNA5SP113
NA,MT-TE
NA,RNA5SP54
NA,
4519,MT-CYB
NA,RN7SKP264
NA,RN7SL259P
