genes	state
2597	6.393258427
5034	3.988764045
2023	2.797752809
79586	1.595505618
5315	1.595505618
293	1.370786517
7167	1.280898876
1890	1.157303371
517	1.101123596
226	1.02247191
476	0.988764045
2879	0.93258427
2987	0.921348315
9551	0.898876404
9123	0.876404494
5211	0.853932584
2687	0.842696629
8566	0.842696629
2876	0.820224719
10555	0.797752809
4726	0.786516854
8992	0.775280899
5351	0.764044944
533	0.752808989
1340	0.752808989
8714	0.741573034
5052	0.730337079
1327	0.719101124
6303	0.719101124
3615	0.662921348
1351	0.640449438
3636	0.629213483
6649	0.595505618
51079	0.573033708
8985	0.561797753
5834	0.539325843
126328	0.528089888
1892	0.516853933
11343	0.516853933
5476	0.505617978
1809	0.505617978
4696	0.505617978
353	0.494382022
2997	0.483146067
3030	0.483146067
8733	0.471910112
7384	0.471910112
1577	0.460674157
514	0.438202247
4123	0.438202247
10975	0.438202247
9957	0.426966292
3423	0.426966292
4705	0.426966292
5832	0.415730337
4524	0.415730337
7378	0.415730337
2224	0.404494382
10723	0.404494382
6574	0.404494382
1345	0.393258427
2878	0.393258427
3098	0.393258427
3632	0.393258427
4832	0.393258427
526	0.382022472
1718	0.370786517
4245	0.370786517
55577	0.370786517
28231	0.370786517
2877	0.359550562
4723	0.359550562
112483	0.359550562
10948	0.359550562
8704	0.348314607
4144	0.348314607
55191	0.348314607
4669	0.348314607
4715	0.348314607
5406	0.348314607
1329	0.337078652
2356	0.337078652
51447	0.337078652
6389	0.337078652
521	0.325842697
11282	0.325842697
376497	0.325842697
6522	0.325842697
7264	0.325842697
445	0.314606742
51523	0.314606742
11253	0.314606742
4725	0.314606742
221	0.303370787
1650	0.303370787
2026	0.303370787
9415	0.303370787
5214	0.303370787
5730	0.303370787
513	0.292134831
535	0.292134831
9114	0.292134831
1537	0.292134831
23396	0.292134831
6184	0.292134831
54407	0.292134831
6723	0.292134831
1716	0.280898876
3418	0.280898876
80271	0.280898876
4716	0.280898876
6648	0.280898876
55268	0.269662921
2132	0.269662921
3421	0.269662921
51604	0.269662921
6647	0.269662921
27089	0.269662921
2683	0.258426966
8525	0.258426966
2194	0.258426966
5049	0.258426966
7001	0.258426966
6510	0.258426966
10327	0.247191011
481	0.247191011
26229	0.247191011
