COMP,1.11E-16,5.93E-13
GCG,5.55E-17,5.93E-13
INS,5.55E-17,5.93E-13
MTRNR2L12,1.11E-16,5.93E-13
PCSK1N,1.11E-16,5.93E-13
SPP1,1.11E-16,5.93E-13
TAGLN,1.11E-16,5.93E-13
TTR,1.11E-16,5.93E-13
CD74,2.22E-16,6.78E-13
FN1,2.22E-16,6.78E-13
FTL,2.22E-16,6.78E-13
HLA-DRA,2.22E-16,6.78E-13
MTRNR2L1,2.22E-16,6.78E-13
MTRNR2L8,2.22E-16,6.78E-13
AEBP1,1.55E-15,4.43E-12
IGFBP3,1.78E-15,4.75E-12
ACTB,2.85E-14,7.17E-11
SCG5,1.25E-13,2.97E-10
CXCL14,6.04E-13,1.36E-09
KRT19,1.23E-12,2.63E-09
ADIRF,1.83E-12,3.72E-09
PHGR1,2.39E-12,4.64E-09
APOD,2.50E-12,4.65E-09
LCN2,2.76E-12,4.91E-09
DDIT4,4.49E-12,7.68E-09
S100A6,1.08E-11,1.78E-08
IGFBP2,1.76E-11,2.79E-08
MYL9,1.97E-11,3.01E-08
MGP,3.17E-11,4.61E-08
OLFM4,3.24E-11,4.61E-08
MYH11,1.40E-10,1.93E-07
CLU,1.50E-10,2.00E-07
COL12A1,1.69E-10,2.20E-07
MUC1,1.87E-10,2.35E-07
TFF1,5.99E-10,7.31E-07
KRT8,6.84E-10,8.12E-07
SERPINE1,7.77E-10,8.98E-07
FTH1,8.79E-10,9.88E-07
ANGPTL4,1.43E-09,1.56E-06
APOE,1.80E-09,1.92E-06
SCGN,4.19E-09,4.37E-06
CTGF,4.56E-09,4.64E-06
IGFBP5,8.03E-09,7.98E-06
ENG,8.96E-09,8.71E-06
THBS1,1.28E-08,1.21E-05
DPEP1,1.51E-08,1.41E-05
NR4A1,2.32E-08,2.11E-05
GAPDH,2.39E-08,2.13E-05
CYR61,5.63E-08,4.81E-05
PIGR,5.56E-08,4.81E-05
B2M,6.21E-08,5.20E-05
LAPTM5,6.99E-08,5.75E-05
KRT17,7.26E-08,5.85E-05
NUPR1,7.81E-08,6.18E-05
C1QA,8.62E-08,6.70E-05
PCSK7,8.90E-08,6.79E-05
IGFBP7,1.06E-07,7.91E-05
PLAT,2.06E-07,0.000151535
MFGE8,2.15E-07,0.000155832
CEACAM6,2.36E-07,0.000168301
ELN,2.44E-07,0.000170656
ACTA2,3.10E-07,0.000213379
TIMP3,3.45E-07,0.000233841
HLA-DPA1,3.79E-07,0.000253281
REG4,4.01E-07,0.000263988
TMSB10,4.72E-07,0.000305505
GNAS,1.02E-06,0.000648698
C7,1.38E-06,0.000868253
C10orf10,1.55E-06,0.00095769
SFRP4,1.73E-06,0.001058904
DPCR1,1.94E-06,0.001168697
TPT1,2.48E-06,0.001475015
DCN,2.69E-06,0.001574177
AHNAK2,2.88E-06,0.001666228
EEF1A1,3.24E-06,0.001845099
BGN,3.58E-06,0.00201301
HLA-DRB1,3.74E-06,0.002076713
SAA1,4.03E-06,0.002207145
CHGA,4.73E-06,0.002561285
C1QB,4.92E-06,0.002626619
KRT18,7.72E-06,0.004073897
TFF3,8.75E-06,0.004559901
SLC2A1,8.91E-06,0.004586662
JCHAIN,9.80E-06,0.004870668
LUM,9.72E-06,0.004870668
NNMT,9.71E-06,0.004870668
LYZ,9.96E-06,0.004892727
PTGDS,1.01E-05,0.004902888
VIM,1.03E-05,0.004932097
SAMD11,1.04E-05,0.004957867
ATP2A2,1.39E-05,0.006495821
LGALS4,1.40E-05,0.006495821
CLDN12,1.50E-05,0.006898214
TINAGL1,1.59E-05,0.007250917
LSP1,1.72E-05,0.007750953
EPCAM,1.91E-05,0.008491803
MUC5B,2.16E-05,0.009538996
MTRNR2L10,2.20E-05,0.00959418
GPNMB,2.32E-05,0.010008364
TXNIP,2.57E-05,0.01097824
PSAP,3.09E-05,0.012931945
SFRP2,3.08E-05,0.012931945
HLA-DQA1,3.89E-05,0.016066021
LGALS1,3.91E-05,0.016066021
LAMB3,4.12E-05,0.0167818
CDH17,4.42E-05,0.017827727
CEACAM5,4.83E-05,0.019128588
KRT7,4.82E-05,0.019128588
LGALS3,4.97E-05,0.019477123
COL1A2,6.46E-05,0.024918982
CYSTM1,6.47E-05,0.024918982
CNN1,6.53E-05,0.024921797
MYH14,6.60E-05,0.02497294
COL1A1,6.71E-05,0.025174575
ANXA8L1,6.79E-05,0.025223674
MT2A,6.90E-05,0.025407897
IFI27,7.73E-05,0.028230175
PTGS2,8.36E-05,0.030285579
LAMC2,8.68E-05,0.031169394
FLNA,8.94E-05,0.031836593
CD14,9.51E-05,0.033462562
TYROBP,9.55E-05,0.033462562
RBP4,0.000103141,0.035842974
NR3C1,0.000104034,0.035861901
SST,0.00010559,0.036107137
SLC16A3,0.000107762,0.036557492
TIMP1,0.000109687,0.036917537
SULF1,0.000114248,0.038152208
AHNAK,0.000123689,0.040669253
HSPB1,0.000123398,0.040669253
CALM2,0.000128758,0.042012915
PRELP,0.000130065,0.042117894
AGT,0.000137343,0.043810755
ZFP36L2,0.00013703,0.043810755
COL17A1,0.00013838,0.043814712
MTRNR2L6,0.00014646,0.046032106
COL4A2,0.000152052,0.047440791
MSLN,0.000162386,0.050297875
FLNB,0.000190819,0.058679503
CCT2,0.000194236,0.058883165
TSPAN1,0.000194213,0.058883165
THY1,0.000200593,0.06038205
C3,0.000233824,0.069892988
COL16A1,0.000257708,0.076497236
MT1X,0.000262673,0.077433206
COL3A1,0.000265777,0.077811531
C1S,0.000270097,0.077835135
HIP1R,0.000273141,0.077835135
HLA-DQB1,0.000268894,0.077835135
PEMT,0.000272498,0.077835135
MMP11,0.000277978,0.07868873
ADRA2A,0.000292532,0.081834283
THBS2,0.000292919,0.081834283
SVEP1,0.000331844,0.092107113
EZR,0.000348977,0.096237499
ADAMTSL2,0.000357651,0.097997406
CTSD,0.000376218,0.101881885
H3F3B,0.000376595,0.101881885
TMSB4X,0.000381152,0.102466178
PMEPA1,0.000393951,0.105245019
ATP2A3,0.000417766,0.110914218
ISLR,0.000420803,0.111030866
NID1,0.000431923,0.113265559
DUOXA2,0.000459659,0.119804105
PKM,0.000465567,0.11988189
TBX2,0.000464241,0.11988189
SOD3,0.000478251,0.122410531
BOLA2B,0.000537495,0.136755508
ASAH1,0.000546535,0.13823279
C11orf96,0.000552869,0.139012213
CLDN4,0.000592798,0.148180221
C4A,0.000600574,0.148388556
ITM2B,0.000597729,0.148388556
NBL1,0.000613292,0.150659929
APOC1,0.000632207,0.154056922
SSR4,0.000634329,0.154056922
FCGR2B,0.00065262,0.157603766
CST1,0.000709846,0.170460607
TADA3,0.000744267,0.177727866
MCAM,0.000844176,0.200465637
UBC,0.000849008,0.200499192
TNS4,0.000869438,0.204195713
ADAM8,0.000881994,0.206012668
PABPC1,0.000938209,0.21704134
TRIM29,0.000939365,0.21704134
IL1R2,0.000975791,0.224245383
LOX,0.000982588,0.224599953
MS4A6A,0.001000508,0.227479505
CXCR4,0.001053212,0.237389377
TM4SF4,0.001060755,0.237389377
TUBA1A,0.001059106,0.237389377
CD163,0.00108616,0.241808795
C4B,0.00110515,0.244761811
CEMIP,0.001115774,0.245840888
ITGAX,0.001177392,0.258086927
IFITM3,0.001279123,0.277540139
MANF,0.001277796,0.277540139
MUC5AC,0.001299721,0.280585143
RNASET2,0.001337504,0.287290695
DHX8,0.001345201,0.287436982
LDLR,0.001351634,0.287436982
WISP2,0.001370008,0.289902189
NDUFA4L2,0.001417305,0.295521419
PFKP,0.001411459,0.295521419
SLC6A8,0.001407165,0.295521419
DDX5,0.001578794,0.327595561
ALDH1A1,0.00178178,0.367928541
HERPUD1,0.001820617,0.374140592
RNF213,0.001859407,0.380283685
ZCCHC24,0.001875097,0.381666616
CTSH,0.001912169,0.387367708
ID3,0.001965012,0.396093962
TMEM141,0.001973777,0.396093962
HSD11B2,0.001993009,0.398084326
VILL,0.002034691,0.404519643
MSR1,0.002047915,0.405263867
CALCOCO2,0.002245596,0.440402459
CST2,0.002246087,0.440402459
PLXNA2,0.002260688,0.441241274
LOXL2,0.00232688,0.449518002
MALL,0.002321626,0.449518002
WDR45B,0.002334643,0.449518002
CAVIN1,0.002396081,0.459278644
RHOF,0.002456832,0.468821011
MAP1B,0.002530027,0.480642622
FCER1G,0.002607499,0.493168557
LAMTOR2,0.00263434,0.496050259
SPARC,0.00264675,0.496201027
SRP14,0.002691794,0.502442036
ARPP19,0.002727372,0.506869438
MMP7,0.002849714,0.527313582
TMEM184A,0.002915378,0.537138792
ENO1,0.003048501,0.556865167
TSC22D1,0.003044685,0.556865167
BCL2L1,0.003087619,0.556871553
LAP3,0.003074277,0.556871553
TSPAN8,0.003086475,0.556871553
TFF2,0.003116303,0.559683336
YPEL3,0.003165653,0.566167628
MTRNR2L11,0.003225841,0.574528136
CTDSPL,0.003356753,0.593242771
USP9X,0.003358677,0.593242771
AIF1,0.003584323,0.630493294
SLC25A24,0.003666131,0.642240722
S100P,0.003764977,0.656864687
ATP1B1,0.003827025,0.664975714
PLAC8,0.004073633,0.704960109
FBP1,0.004130447,0.71190981
CPE,0.004191347,0.71950509
MXRA5,0.00421687,0.720991029
OLFML2B,0.004258014,0.725125161
C1QC,0.004342941,0.73665313
ACBD3,0.004429569,0.739607192
CTSB,0.004408899,0.739607192
MUC3A,0.004425747,0.739607192
SSH1,0.004379178,0.739607192
CCNI,0.004550312,0.756811479
SPARCL1,0.00464238,0.766161917
ZFP91,0.004630447,0.766161917
IFITM2,0.004693824,0.771672553
CEBPD,0.004815769,0.785676913
NHSL2,0.004801083,0.785676913
HLA-A,0.004868585,0.788004488
ITIH3,0.004903014,0.788004488
LAPTM4B,0.004903777,0.788004488
STRA6,0.00487406,0.788004488
CNN2,0.005077786,0.809877377
RAB34,0.005073741,0.809877377
LHFPL6,0.00511355,0.812549488
CPD,0.005151363,0.815526353
ISG20,0.005206365,0.821192458
RBM42,0.005254818,0.825787726
FAM20C,0.00533368,0.835110532
TMBIM6,0.005405933,0.843334241
S100A4,0.005538049,0.860802948
THBS4,0.005618113,0.870083607
NACA,0.005671361,0.873758723
PLBD2,0.005682726,0.873758723
