EEF1A1,5.55E-17,3.49E-13
EGR1,5.55E-17,3.49E-13
BGN,1.11E-16,4.66E-13
ELF3,2.22E-16,6.99E-13
COMP,8.88E-16,2.24E-12
ATP5E,5.77E-15,1.21E-11
ANXA4,7.64E-14,1.25E-10
CEACAM6,7.93E-14,1.25E-10
CST3,2.12E-13,2.96E-10
CAVIN1,8.32E-13,1.05E-09
AGR2,1.05E-12,1.20E-09
AEBP1,1.17E-12,1.23E-09
DPEP1,1.69E-12,1.64E-09
CXCL14,9.72E-12,8.74E-09
CSTB,3.52E-11,2.95E-08
DMBT1,7.61E-11,5.99E-08
ATF3,2.34E-10,1.64E-07
C11orf96,2.24E-10,1.64E-07
AXL,9.37E-10,6.21E-07
DUSP1,1.36E-09,8.59E-07
BTG2,6.24E-09,3.28E-06
C3,6.00E-09,3.28E-06
CD63,6.25E-09,3.28E-06
DDIT4,5.58E-09,3.28E-06
EFNA1,7.73E-09,3.89E-06
APOD,1.52E-08,7.38E-06
EEF2,1.92E-08,8.96E-06
COL6A2,2.52E-08,1.13E-05
ATP1B1,3.15E-08,1.37E-05
C4A,3.53E-08,1.48E-05
CTGF,7.89E-08,3.20E-05
CTSD,9.16E-08,3.60E-05
C4B,1.04E-07,3.98E-05
ARHGDIA,1.18E-07,4.26E-05
COL1A1,1.18E-07,4.26E-05
BHLHE40,1.31E-07,4.59E-05
C7,1.54E-07,5.24E-05
ADAMTS4,3.20E-07,0.000106089
B2M,5.01E-07,0.000161519
DPCR1,7.11E-07,0.000223809
COL3A1,8.26E-07,0.000253655
ENG,9.86E-07,0.000295366
ECM1,2.14E-06,0.00062722
CD74,3.23E-06,0.000924638
APBB3,4.56E-06,0.00127591
CLU,4.94E-06,0.001351679
ADAMTS1,5.24E-06,0.001401905
CD68,5.71E-06,0.001496333
BTF3,6.83E-06,0.001750145
C4orf48,6.95E-06,0.001750145
CU639417.2,7.86E-06,0.001940049
ACTG1,9.21E-06,0.002229807
ATP6AP1,1.02E-05,0.002418839
DPP7,1.14E-05,0.002658822
DEK,1.25E-05,0.00286299
ANXA2,1.35E-05,0.003032575
CD55,1.37E-05,0.003032575
ALDH1A1,1.56E-05,0.003386882
EEF1B2,1.60E-05,0.003406194
ATP5EP2,1.75E-05,0.003666205
ACTB,2.00E-05,0.004132195
ARPC5,2.06E-05,0.004177955
ENO1,2.14E-05,0.004265685
CLDN18,2.50E-05,0.00490674
CYR61,3.28E-05,0.006358004
AKR1B10,4.09E-05,0.007797701
C11orf58,8.10E-05,0.014782398
CHPF,8.07E-05,0.014782398
DCN,8.04E-05,0.014782398
DAB2IP,9.56E-05,0.017194202
COL1A2,0.000104124,0.018456706
CST1,0.000113439,0.019828537
DNAJC5,0.000120006,0.020689211
CCDC85B,0.000125946,0.021419783
COL18A1,0.000158305,0.02656419
CBR1,0.000160665,0.026605362
CRISPLD2,0.000172158,0.028138409
BEST1,0.000183921,0.029675562
CSRNP1,0.000197282,0.031052686
DUSP2,0.000197391,0.031052686
CANT1,0.000203663,0.031643772
AGT,0.000215339,0.033049943
ADAMTSL2,0.000301472,0.045712049
