ensembl_gene_id,entrezgene,hgnc_symbol,gene_biotype,wikigene_description
ENSG00000252303,NA,RNU6-280P,snRNA,
ENSG00000281771,NA,,misc_RNA,
ENSG00000281256,NA,,lincRNA,
ENSG00000283272,NA,,sRNA,
ENSG00000280864,NA,,lincRNA,
ENSG00000280792,NA,,lincRNA,
ENSG00000282878,102723924,,lincRNA,uncharacterized LOC102723924
ENSG00000283276,NA,,unprocessed_pseudogene,
ENSG00000281822,NA,RNU1-62P,snRNA,
ENSG00000281384,NA,,lincRNA,
ENSG00000280505,NA,,processed_pseudogene,
ENSG00000281764,NA,,processed_pseudogene,
ENSG00000281316,NA,DPPA2P2,processed_pseudogene,
ENSG00000280963,NA,SERTAD4-AS1,antisense,
ENSG00000280775,NA,RNA5SP136,rRNA,
ENSG00000281876,101929901,,antisense,uncharacterized LOC101929901
ENSG00000281766,23429,RYBP,protein_coding,RING1 and YY1 binding protein
ENSG00000281518,100132074,FOXO6,protein_coding,forkhead box O6
ENSG00000281614,3635,INPP5D,protein_coding,inositol polyphosphate-5-phosphatase D
ENSG00000280584,29989,OBP2B,protein_coding,odorant binding protein 2B
ENSG00000281230,56256,SERTAD4,protein_coding,SERTA domain containing 4
ENSG00000281917,6566,SLC16A1,protein_coding,solute carrier family 16 member 1
ENSG00000281067,NA,ST13P19,processed_pseudogene,
ENSG00000281552,NA,,processed_pseudogene,
ENSG00000280820,NA,LCN1P1,unprocessed_pseudogene,
ENSG00000280751,NA,AKR7A2P1,processed_pseudogene,
ENSG00000280632,NA,,misc_RNA,
ENSG00000281557,100996251,,lincRNA,uncharacterized LOC100996251
ENSG00000281430,NA,LCN1P2,unprocessed_pseudogene,
ENSG00000281813,23522,KAT6B,protein_coding,lysine acetyltransferase 6B
ENSG00000280680,55733,HHAT,protein_coding,hedgehog acyltransferase
ENSG00000281309,6838,SURF6,protein_coding,surfeit 6
ENSG00000281877,6195,RPS6KA1,protein_coding,ribosomal protein S6 kinase A1
ENSG00000281434,4705,NDUFA10,protein_coding,NADH:ubiquinone oxidoreductase subunit A10
ENSG00000281226,NA,,lincRNA,
ENSG00000283081,NA,,lincRNA,
ENSG00000281393,NA,,misc_RNA,
ENSG00000283034,353274,ZNF445,protein_coding,zinc finger protein 445
ENSG00000281459,29943,PADI1,protein_coding,peptidyl arginine deiminase 1
ENSG00000281022,6837,MED22,protein_coding,mediator complex subunit 22
ENSG00000281499,NA,RNU5A-8P,snRNA,
ENSG00000280937,NA,,processed_pseudogene,
ENSG00000281626,285346,ZNF852,protein_coding,zinc finger protein 852
ENSG00000280549,51702,PADI3,protein_coding,peptidyl arginine deiminase 3
ENSG00000280669,NA,RN7SL32P,misc_RNA,
ENSG00000280781,NA,EI24P3,processed_pseudogene,
ENSG00000281707,NA,,processed_pseudogene,
ENSG00000281810,100616188,MIR3972,miRNA,microRNA 3972
ENSG00000280908,23569,PADI4,protein_coding,peptidyl arginine deiminase 4
ENSG00000281699,NA,,processed_pseudogene,
ENSG00000280948,100302190,MIR1976,miRNA,microRNA 1976
ENSG00000281092,NA,RN7SL679P,misc_RNA,
ENSG00000280876,NA,,misc_RNA,
ENSG00000281894,55888,ZKSCAN7,protein_coding,zinc finger with KRAB and SCAN domains 7
ENSG00000281679,NA,RNU7-29P,snRNA,
ENSG00000280806,NA,,processed_pseudogene,
ENSG00000280926,NA,,snoRNA,
ENSG00000281835,NA,,protein_coding,
ENSG00000281805,NA,,processed_pseudogene,
ENSG00000280858,6130,RPL7A,protein_coding,ribosomal protein L7a
ENSG00000280949,353238,PADI6,protein_coding,peptidyl arginine deiminase 6
ENSG00000281770,NA,,antisense,
ENSG00000281391,NA,,antisense,
ENSG00000281540,55920,RCC2,protein_coding,regulator of chromosome condensation 2
ENSG00000280889,26820,SNORD24,snoRNA,small nucleolar RNA, C/D box 24
ENSG00000281243,NA,SNORD36B,snoRNA,
ENSG00000281907,26815,SNORD36A,snoRNA,small nucleolar RNA, C/D box 36A
ENSG00000281541,26813,SNORD36C,snoRNA,small nucleolar RNA, C/D box 36C
ENSG00000281456,NA,,antisense,
ENSG00000280661,285349,ZNF660,protein_coding,zinc finger protein 660
ENSG00000280795,NA,MPRIPP1,processed_pseudogene,
ENSG00000280627,6834,SURF1,protein_coding,surfeit 1
ENSG00000281089,55054,ATG16L1,protein_coding,autophagy related 16 like 1
ENSG00000281709,10168,ZNF197,protein_coding,zinc finger protein 197
ENSG00000281024,6835,SURF2,protein_coding,surfeit 2
ENSG00000280907,100874094,ZNF197-AS1,antisense,ZNF197 antisense RNA 1
ENSG00000281306,7584,ZNF35,protein_coding,zinc finger protein 35
ENSG00000280951,6836,SURF4,protein_coding,surfeit 4
ENSG00000281102,NA,,lincRNA,
ENSG00000280872,NA,SOCS5P3,processed_pseudogene,
ENSG00000281448,91392,ZNF502,protein_coding,zinc finger protein 502
ENSG00000281661,115560,ZNF501,protein_coding,zinc finger protein 501
ENSG00000281665,57456,KIAA1143,protein_coding,KIAA1143
ENSG00000281245,169436,STKLD1,protein_coding,serine/threonine kinase-like domain containing 1
ENSG00000280706,57109,REXO4,protein_coding,REX4 homolog, 3'-5' exonuclease
ENSG00000280652,677775,SCARNA5,scaRNA,small Cajal body-specific RNA 5
ENSG00000281388,677772,SCARNA6,scaRNA,small Cajal body-specific RNA 6
ENSG00000280610,56992,KIF15,protein_coding,kinesin family member 15
ENSG00000281857,6295,SAG,protein_coding,S-antigen; retina and pineal gland (arrestin)
ENSG00000280928,NA,,antisense,
ENSG00000280516,131616,TMEM42,protein_coding,transmembrane protein 42
ENSG00000280516,131616,TMEM42,protein_coding,microRNA 564
ENSG00000280516,693149,TMEM42,protein_coding,transmembrane protein 42
ENSG00000280516,693149,TMEM42,protein_coding,microRNA 564
ENSG00000281886,7047,TGM4,protein_coding,transglutaminase 4
ENSG00000280873,8527,DGKD,protein_coding,diacylglycerol kinase delta
ENSG00000281244,11093,ADAMTS13,protein_coding,ADAM metallopeptidase with thrombospondin type 1 motif 13
ENSG00000280701,NA,,antisense,
ENSG00000280674,51304,ZDHHC3,protein_coding,zinc finger DHHC-type containing 3
ENSG00000281623,NA,,misc_RNA,
ENSG00000280479,11094,CACFD1,protein_coding,calcium channel flower domain containing 1
ENSG00000281165,11182,SLC2A6,protein_coding,solute carrier family 2 member 6
ENSG00000281879,28,ABO,protein_coding,ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)
